kulpaj,(k|u|l)-(p|a|j),31
polican,(p|o)-(l|i)-(c|a|n),31
suferanta,(s|u)-(f|e)-(r|a|n)-(t|a),31
dezirantaj,(d|e)-(z|i)-(r|a|n)-(t|a|j),31
intervjuita,(∅|i|n)-(t|e|r)-(vj|u)-(∅|i)-(t|a),31
fiksa,(f|i|k)-(s|a),31
influita,(∅|i|n)-(fl|u)-(∅|i)-(t|a),31
unuaranga,(∅|u)-(n|u)-(∅|a)-(r|a|n)-(g|a),31
falsan,(f|a|l)-(s|a|n),31
ĉirkaŭantaj,(ĉ|i|r)-(k|a|ŭ)-(∅|a|n)-(t|a|j),31
unuanima,(∅|u)-(n|u)-(∅|a)-(n|i)-(m|a),31
inaj,(∅|i)-(n|a|j),31
naciismaj,(n|a)-(c|i)-(∅|i|s)-(m|a|j),31
leviĝanta,(l|e)-(v|i)-(ĝ|a|n)-(t|a),31
ekspluatataj,(∅|e|ks)-(pl|u)-(∅|a)-(t|a)-(t|a|j),31
protestanta,(pr|o)-(t|e|s)-(t|a|n)-(t|a),31
rimarkita,(r|i)-(m|a|r)-(k|i)-(t|a),31
produktata,(pr|o)-(d|u|k)-(t|a)-(t|a),31
indikita,(∅|i|n)-(d|i)-(k|i)-(t|a),31
konstruataj,(k|o|ns)-(tr|u)-(∅|a)-(t|a|j),31
sentata,(s|e|n)-(t|a)-(t|a),31
klasa,(kl|a)-(s|a),31
regulajn,(r|e)-(g|u)-(l|a|jn),31
stultaj,(st|u|l)-(t|a|j),31
traktitaj,(tr|a|k)-(t|i)-(t|a|j),31
marina,(m|a)-(r|i)-(n|a),31
trans_donitaj,(tr|a|ns)-(d|o)-(n|i)-(t|a|j),31
armeajn,(∅|a|r)-(m|e)-(∅|a|jn),31
vastega,(v|a|s)-(t|e)-(g|a),31
paperaj,(p|a)-(p|e)-(r|a|j),31
honorata,(h|o)-(n|o)-(r|a)-(t|a),31
nordan,(n|o|r)-(d|a|n),31
sen_duba,(s|e|n)-(d|u)-(b|a),31
kelta,(k|e|l)-(t|a),31
duaranga,(d|u)-(∅|a)-(r|a|n)-(g|a),31
viglajn,(v|i|g)-(l|a|jn),31
donacitaj,(d|o)-(n|a)-(c|i)-(t|a|j),31
subjektiva,(s|u|b)-(j|e|k)-(t|i)-(v|a),31
petataj,(p|e)-(t|a)-(t|a|j),31
moveblaj,(m|o)-(v|e|b)-(l|a|j),31
mal_vera,(m|a|l)-(v|e)-(r|a),31
haveblaj,(h|a)-(v|e|b)-(l|a|j),31
pacienca,(p|a)-(c|i)-(∅|e|n)-(c|a),31
deziratan,(d|e)-(z|i)-(r|a)-(t|a|n),31
teda,(t|e)-(d|a),31
graveda,(gr|a)-(v|e)-(d|a),31
funkciantan,(f|u|n)-(kc|i)-(∅|a|n)-(t|a|n),31
kun_metita,(k|u|n)-(m|e)-(t|i)-(t|a),31
amatoraj,(∅|a)-(m|a)-(t|o)-(r|a|j),31
kuprajn,(k|u|p)-(r|a|jn),31
konvenan,(k|o|n)-(v|e)-(n|a|n),31
kalifornia,(k|a)-(l|i)-(f|o|r)-(n|i)-(∅|a),31
pedagogiaj,(p|e)-(d|a)-(g|o)-(g|i)-(∅|a|j),31
vaŝingtona,(v|a)-(ŝ|i|n)-(gt|o)-(n|a),31
ĉirkaŭiris,(ĉ|i|r)-(k|a|ŭ)-(∅|i)-(r|i|s),31
salti,(s|a|l)-(t|i),31
korektas,(k|o)-(r|e|k)-(t|a|s),31
pensos,(p|e|n)-(s|o|s),31
veti,(v|e)-(t|i),31
pliigis,(pl|i)-(∅|i)-(g|i|s),31
ŝiris,(ŝ|i)-(r|i|s),31
triumfis,(tr|i)-(∅|u|m)-(f|i|s),31
mal_fermiĝi,(m|a|l)-(f|e|r)-(m|i)-(ĝ|i),31
el_fosis,(∅|e|l)-(f|o)-(s|i|s),31
odoras,(∅|o)-(d|o)-(r|a|s),31
vivigi,(v|i)-(v|i)-(g|i),31
seniĝi,(s|e)-(n|i)-(ĝ|i),31
resumiĝas,(r|e)-(s|u)-(m|i)-(ĝ|a|s),31
malobeis,(m|a)-(l|o)-(b|e)-(∅|i|s),31
favorigi,(f|a)-(v|o)-(r|i)-(g|i),31
en_havi,(∅|e|n)-(h|a)-(v|i),31
memorigu,(m|e)-(m|o)-(r|i)-(g|u),31
neglektis,(n|e|g)-(l|e|k)-(t|i|s),31
ŝokas,(ŝ|o)-(k|a|s),31
akrigas,(∅|a|k)-(r|i)-(g|a|s),31
interpretas,(∅|i|n)-(t|e|r)-(pr|e)-(t|a|s),31
antaŭis,(∅|a|n)-(t|a|ŭ)-(∅|i|s),31
lanĉiĝis,(l|a|n)-(ĉ|i)-(ĝ|i|s),31
kronis,(kr|o)-(n|i|s),31
mal_pliigas,(m|a|l)-(pl|i)-(∅|i)-(g|a|s),31
kun_ligi,(k|u|n)-(l|i)-(g|i),31
drinkis,(dr|i|n)-(k|i|s),31
invadas,(∅|i|n)-(v|a)-(d|a|s),31
sub_metiĝis,(s|u|b)-(m|e)-(t|i)-(ĝ|i|s),31
rajtigas,(r|a|j)-(t|i)-(g|a|s),31
admoni,(∅|a|d)-(m|o)-(n|i),31
efiki,(∅|e)-(f|i)-(k|i),31
aŭdigas,(∅|a|ŭ)-(d|i)-(g|a|s),31
anstataŭigis,(∅|a|n)-(st|a)-(t|a|ŭ)-(∅|i)-(g|i|s),31
loki,(l|o)-(k|i),31
ŝlosis,(ŝl|o)-(s|i|s),31
kunordigas,(k|u)-(n|o|r)-(d|i)-(g|a|s),31
pristudi,(pr|i|s)-(t|u)-(d|i),31
progresi,(pr|o|g)-(r|e)-(s|i),31
konsultis,(k|o|n)-(s|u|l)-(t|i|s),31
ofendis,(∅|o)-(f|e|n)-(d|i|s),31
falus,(f|a)-(l|u|s),31
bridi,(br|i)-(d|i),31
abomenis,(∅|a)-(b|o)-(m|e)-(n|i|s),31
ĝojus,(ĝ|o)-(j|u|s),31
kun_dividi,(k|u|n)-(d|i)-(v|i)-(d|i),31
remetis,(r|e)-(m|e)-(t|i|s),31
flegis,(fl|e)-(g|i|s),31
ripetiĝas,(r|i)-(p|e)-(t|i)-(ĝ|a|s),31
meritus,(m|e)-(r|i)-(t|u|s),31
ek_konas,(∅|e|k)-(k|o)-(n|a|s),31
sanktigu,(s|a|n)-(kt|i)-(g|u),31
konserviĝis,(k|o|n)-(s|e|r)-(v|i)-(ĝ|i|s),31
laboradis,(l|a)-(b|o)-(r|a)-(d|i|s),31
rekonos,(r|e)-(k|o)-(n|o|s),31
reviviĝis,(r|e)-(v|i)-(v|i)-(ĝ|i|s),31
el_moviĝis,(∅|e|l)-(m|o)-(v|i)-(ĝ|i|s),31
pek_liberigos,(p|e|k)-(l|i)-(b|e)-(r|i)-(g|o|s),31
esperantigis,(∅|e|s)-(p|e)-(r|a|n)-(t|i)-(g|i|s),31
batalu,(b|a)-(t|a)-(l|u),31
for_ĵetu,(f|o|r)-(ĵ|e)-(t|u),31
trankviliĝu,(tr|a|n)-(kv|i)-(l|i)-(ĝ|u),31
plorante,(pl|o)-(r|a|n)-(t|e),31
supraĵe,(s|u|p)-(r|a)-(ĵ|e),31
en_mane,(∅|e|n)-(m|a)-(n|e),31
kvalite,(kv|a)-(l|i)-(t|e),31
ŝanĝante,(ŝ|a|n)-(ĝ|a|n)-(t|e),31
grand_skale,(gr|a|nd)-(sk|a)-(l|e),31
totale,(t|o)-(t|a)-(l|e),31
prioritate,(pr|i)-(∅|o)-(r|i)-(t|a)-(t|e),31
sen_pune,(s|e|n)-(p|u)-(n|e),31
mortigante,(m|o|r)-(t|i)-(g|a|n)-(t|e),31
konvinke,(k|o|n)-(v|i|n)-(k|e),31
ret_poŝte,(r|e|t)-(p|o|ŝ)-(t|e),31
nomante,(n|o)-(m|a|n)-(t|e),31
ĉien,(ĉ|i)-(∅|e|n),31
mult_nombre,(m|u|lt)-(n|o|m)-(br|e),31
triumfe,(tr|i)-(∅|u|m)-(f|e),31
malagrable,(m|a)-(l|a|g)-(r|a|b)-(l|e),31
ĉiunokte,(ĉ|i)-(∅|u)-(n|o|k)-(t|e),31
instruante,(∅|i|ns)-(tr|u)-(∅|a|n)-(t|e),31
doninte,(d|o)-(n|i|n)-(t|e),31
komparante,(k|o|m)-(p|a)-(r|a|n)-(t|e),31
ignorante,(∅|i|g)-(n|o)-(r|a|n)-(t|e),31
teme,(t|e)-(m|e),31
transtibro,(tr|a|n)-(st|i|b)-(r|o),31
ĝihadistaj,(ĝ|i)-(h|a)-(d|i|s)-(t|a|j),31
antaŭlonge,(∅|a|n)-(t|a|ŭ)-(l|o|n)-(g|e),31
laŭdifine,(l|a|ŭ)-(d|i)-(f|i)-(n|e),31
juvelojn,(j|u)-(v|e)-(l|o|jn),30
martelo,(m|a|r)-(t|e)-(l|o),30
ranoj,(r|a)-(n|o|j),30
trankvilecon,(tr|a|n)-(kv|i)-(l|e)-(c|o|n),30
ridado,(r|i)-(d|a)-(d|o),30
ŝipanaro,(ŝ|i)-(p|a)-(n|a)-(r|o),30
ratoj,(r|a)-(t|o|j),30
rubandoj,(r|u)-(b|a|n)-(d|o|j),30
ŝlosiloj,(ŝl|o)-(s|i)-(l|o|j),30
kostumon,(k|o|s)-(t|u)-(m|o|n),30
potoj,(p|o)-(t|o|j),30
verso,(v|e|r)-(s|o),30
edinburgo,(∅|e)-(d|i|n)-(b|u|r)-(g|o),30
vendon,(v|e|n)-(d|o|n),30
procentojn,(pr|o)-(c|e|n)-(t|o|jn),30
vaporo,(v|a)-(p|o)-(r|o),30
taso,(t|a)-(s|o),30
dungitaro,(d|u|n)-(g|i)-(t|a)-(r|o),30
mal_multo,(m|a|l)-(m|u|l)-(t|o),30
indiĝeno,(∅|i|n)-(d|i)-(ĝ|e)-(n|o),30
policejo,(p|o)-(l|i)-(c|e)-(j|o),30
anoncojn,(∅|a)-(n|o|n)-(c|o|jn),30
ŝnuron,(ŝn|u)-(r|o|n),30
moneron,(m|o)-(n|e)-(r|o|n),30
dekono,(d|e)-(k|o)-(n|o),30
kompetentojn,(k|o|m)-(p|e)-(t|e|n)-(t|o|jn),30
bangladeŝo,(b|a|n)-(gl|a)-(d|e)-(ŝ|o),30
luktado,(l|u|k)-(t|a)-(d|o),30
malamikecon,(m|a)-(l|a)-(m|i)-(k|e)-(c|o|n),30
strategiojn,(str|a)-(t|e)-(g|i)-(∅|o|jn),30
opoziciuloj,(∅|o)-(p|o)-(z|i)-(c|i)-(∅|u)-(l|o|j),30
fleksebleco,(fl|e|k)-(s|e|b)-(l|e)-(c|o),30
rivaloj,(r|i)-(v|a)-(l|o|j),30
mal_justaĵoj,(m|a|l)-(j|u|s)-(t|a)-(ĵ|o|j),30
hospitaloj,(h|o|s)-(p|i)-(t|a)-(l|o|j),30
maso,(m|a)-(s|o),30
mezuroj,(m|e)-(z|u)-(r|o|j),30
diskut_listo,(d|i|s)-(k|u|t)-(l|i|s)-(t|o),30
murdistoj,(m|u|r)-(d|i|s)-(t|o|j),30
surduloj,(s|u|r)-(d|u)-(l|o|j),30
sin_deteno,(s|i|n)-(d|e)-(t|e)-(n|o),30
ĉefartikolistoj,(ĉ|e)-(f|a|r)-(t|i)-(k|o)-(l|i|s)-(t|o|j),30
sekvon,(s|e|k)-(v|o|n),30
integriĝon,(∅|i|n)-(t|e|g)-(r|i)-(ĝ|o|n),30
ŝirmo,(ŝ|i|r)-(m|o),30
centraloj,(c|e|n)-(tr|a)-(l|o|j),30
superuloj,(s|u)-(p|e)-(r|u)-(l|o|j),30
devigoj,(d|e)-(v|i)-(g|o|j),30
en_ŝuldiĝo,(∅|e|n)-(ŝ|u|l)-(d|i)-(ĝ|o),30
laboristino,(l|a)-(b|o)-(r|i|s)-(t|i)-(n|o),30
rivaleco,(r|i)-(v|a)-(l|e)-(c|o),30
trans_lokiĝo,(tr|a|ns)-(l|o)-(k|i)-(ĝ|o),30
kandidatiĝon,(k|a|n)-(d|i)-(d|a)-(t|i)-(ĝ|o|n),30
riĉigo,(r|i)-(ĉ|i)-(g|o),30
diskutadon,(d|i|s)-(k|u)-(t|a)-(d|o|n),30
kapitalojn,(k|a)-(p|i)-(t|a)-(l|o|jn),30
sigelon,(s|i)-(g|e)-(l|o|n),30
pagojn,(p|a)-(g|o|jn),30
nubojn,(n|u)-(b|o|jn),30
alt_rangulo,(∅|a|lt)-(r|a|n)-(g|u)-(l|o),30
memorojn,(m|e)-(m|o)-(r|o|jn),30
mortojn,(m|o|r)-(t|o|jn),30
agitado,(∅|a)-(g|i)-(t|a)-(d|o),30
manovrojn,(m|a)-(n|o|v)-(r|o|jn),30
tarifoj,(t|a)-(r|i)-(f|o|j),30
ortodokseco,(∅|o|r)-(t|o)-(d|o|k)-(s|e)-(c|o),30
ĉesigon,(ĉ|e)-(s|i)-(g|o|n),30
elektroniko,(∅|e)-(l|e|k)-(tr|o)-(n|i)-(k|o),30
magio,(m|a)-(g|i)-(∅|o),30
savado,(s|a)-(v|a)-(d|o),30
vin_beroj,(v|i|n)-(b|e)-(r|o|j),30
individuismo,(∅|i|n)-(d|i)-(v|i)-(d|u)-(∅|i|s)-(m|o),30
generaciojn,(g|e)-(n|e)-(r|a)-(c|i)-(∅|o|jn),30
versiojn,(v|e|r)-(s|i)-(∅|o|jn),30
pasion,(p|a)-(s|i)-(∅|o|n),30
produktaĵojn,(pr|o)-(d|u|k)-(t|a)-(ĵ|o|jn),30
venezŭelo,(v|e)-(n|e|z)-(ŭ|e)-(l|o),30
dono,(d|o)-(n|o),30
apartenon,(∅|a)-(p|a|r)-(t|e)-(n|o|n),30
percepton,(p|e|r)-(c|e|p)-(t|o|n),30
havaĵojn,(h|a)-(v|a)-(ĵ|o|jn),30
rezoluciojn,(r|e)-(z|o)-(l|u)-(c|i)-(∅|o|jn),30
deputitino,(d|e)-(p|u)-(t|i)-(t|i)-(n|o),30
vangon,(v|a|n)-(g|o|n),30
farado,(f|a)-(r|a)-(d|o),30
posedon,(p|o)-(s|e)-(d|o|n),30
pakaĵojn,(p|a)-(k|a)-(ĵ|o|jn),30
gardado,(g|a|r)-(d|a)-(d|o),30
ĝibutio,(ĝ|i)-(b|u)-(t|i)-(∅|o),30
palestinanojn,(p|a)-(l|e|s)-(t|i)-(n|a)-(n|o|jn),30
mon_puno,(m|o|n)-(p|u)-(n|o),30
sovetoj,(s|o)-(v|e)-(t|o|j),30
tumultoj,(t|u)-(m|u|l)-(t|o|j),30
humiligo,(h|u)-(m|i)-(l|i)-(g|o),30
monujo,(m|o)-(n|u)-(j|o),30
admonoj,(∅|a|d)-(m|o)-(n|o|j),30
scenojn,(sc|e)-(n|o|jn),30
desegnaĵo,(d|e)-(s|e|g)-(n|a)-(ĵ|o),30
pajlon,(p|a|j)-(l|o|n),30
administracion,(∅|a|d)-(m|i)-(n|i|s)-(tr|a)-(c|i)-(∅|o|n),30
fadenoj,(f|a)-(d|e)-(n|o|j),30
baraĵoj,(b|a)-(r|a)-(ĵ|o|j),30
krimulon,(kr|i)-(m|u)-(l|o|n),30
patrojn,(p|a|t)-(r|o|jn),30
biciklo,(b|i)-(c|i|k)-(l|o),30
labor_lingvoj,(l|a)-(b|o|r)-(l|i|n)-(gv|o|j),30
krom_nomo,(kr|o|m)-(n|o)-(m|o),30
truojn,(tr|u)-(∅|o|jn),30
socisciencisto,(s|o)-(c|i|s)-(c|i)-(∅|e|n)-(c|i|s)-(t|o),30
kamionoj,(k|a)-(m|i)-(∅|o)-(n|o|j),30
stabestro,(st|a)-(b|e|s)-(tr|o),30
frankojn,(fr|a|n)-(k|o|jn),30
teknikaroj,(t|e|k)-(n|i)-(k|a)-(r|o|j),30
verkaron,(v|e|r)-(k|a)-(r|o|n),30
disĉiplojn,(d|i|s)-(ĉ|i|p)-(l|o|jn),30
fiŝado,(f|i)-(ŝ|a)-(d|o),30
tajloro,(t|a|j)-(l|o)-(r|o),30
desegno,(d|e)-(s|e|g)-(n|o),30
fortikaĵoj,(f|o|r)-(t|i)-(k|a)-(ĵ|o|j),30
rajdantoj,(r|a|j)-(d|a|n)-(t|o|j),30
spadon,(sp|a)-(d|o|n),30
naciecon,(n|a)-(c|i)-(∅|e)-(c|o|n),30
ekzercojn,(∅|e|k)-(z|e|r)-(c|o|jn),30
plen_kreskulo,(pl|e|n)-(kr|e|s)-(k|u)-(l|o),30
valencio,(v|a)-(l|e|n)-(c|i)-(∅|o),30
homero,(h|o)-(m|e)-(r|o),30
palacojn,(p|a)-(l|a)-(c|o|jn),30
oligarkoj,(∅|o)-(l|i)-(g|a|r)-(k|o|j),30
verkistojn,(v|e|r)-(k|i|s)-(t|o|jn),30
sportoj,(sp|o|r)-(t|o|j),30
barbaro,(b|a|r)-(b|a)-(r|o),30
bienojn,(b|i)-(∅|e)-(n|o|jn),30
figarbo,(f|i)-(g|a|r)-(b|o),30
vir_ŝafon,(v|i|r)-(ŝ|a)-(f|o|n),30
favor_korecon,(f|a)-(v|o|r)-(k|o)-(r|e)-(c|o|n),30
jehudaidoj,(j|e)-(h|u)-(d|a)-(∅|i)-(d|o|j),30
pordegistoj,(p|o|r)-(d|e)-(g|i|s)-(t|o|j),30
tablojn,(t|a|b)-(l|o|jn),30
pipon,(p|i)-(p|o|n),30
pentrado,(p|e|n)-(tr|a)-(d|o),30
intendanto,(∅|i|n)-(t|e|n)-(d|a|n)-(t|o),30
faraonoj,(f|a)-(r|a)-(∅|o)-(n|o|j),30
feniciano,(f|e)-(n|i)-(c|i)-(∅|a)-(n|o),30
steĉjo,(st|e|ĉ)-(j|o),30
rus_landon,(r|u|s)-(l|a|n)-(d|o|n),30
progresigo,(pr|o|g)-(r|e)-(s|i)-(g|o),30
rikardo,(r|i)-(k|a|r)-(d|o),30
partoprenantaro,(p|a|r)-(t|o|p)-(r|e)-(n|a|n)-(t|a)-(r|o),30
vicario,(v|i)-(c|a)-(r|i)-(∅|o),30
konstruistoj,(k|o|ns)-(tr|u)-(∅|i|s)-(t|o|j),30
aplaŭdo,(∅|a|p)-(l|a|ŭ)-(d|o),30
skribon,(skr|i)-(b|o|n),30
savinto,(s|a)-(v|i|n)-(t|o),30
ripeto,(r|i)-(p|e)-(t|o),30
bardo,(b|a|r)-(d|o),30
ĉasisto,(ĉ|a)-(s|i|s)-(t|o),30
lundon,(l|u|n)-(d|o|n),30
help_lingvo,(h|e|lp)-(l|i|n)-(gv|o),30
higieno,(h|i)-(g|i)-(∅|e)-(n|o),30
akademioj,(∅|a)-(k|a)-(d|e)-(m|i)-(∅|o|j),30
sviso,(sv|i)-(s|o),30
revizoro,(r|e)-(v|i)-(z|o)-(r|o),30
inter_genta,(∅|i|n)-(t|e|r)-(g|e|n)-(t|a),30
ripetata,(r|i)-(p|e)-(t|a)-(t|a),30
hebrean,(h|e|b)-(r|e)-(∅|a|n),30
arĝentan,(∅|a|r)-(ĝ|e|n)-(t|a|n),30
mal_fruaj,(m|a|l)-(fr|u)-(∅|a|j),30
honestan,(h|o)-(n|e|s)-(t|a|n),30
ĝardena,(ĝ|a|r)-(d|e)-(n|a),30
rava,(r|a)-(v|a),30
furora,(f|u)-(r|o)-(r|a),30
sub_prema,(s|u|b)-(pr|e)-(m|a),30
stabilan,(st|a)-(b|i)-(l|a|n),30
loĝataj,(l|o)-(ĝ|a)-(t|a|j),30
relativan,(r|e)-(l|a)-(t|i)-(v|a|n),30
kreskinta,(kr|e|s)-(k|i|n)-(t|a),30
ekskluditaj,(∅|e|ks)-(kl|u)-(d|i)-(t|a|j),30
fleksebla,(fl|e|k)-(s|e|b)-(l|a),30
japanajn,(j|a)-(p|a)-(n|a|jn),30
signifan,(s|i|g)-(n|i)-(f|a|n),30
ĵetitaj,(ĵ|e)-(t|i)-(t|a|j),30
adekvata,(∅|a)-(d|e|k)-(v|a)-(t|a),30
doninta,(d|o)-(n|i|n)-(t|a),30
daŭrema,(d|a|ŭ)-(r|e)-(m|a),30
ekstrem_dekstraj,(∅|e|ks)-(tr|e|m)-(d|e|ks)-(tr|a|j),30
anonimaj,(∅|a)-(n|o)-(n|i)-(m|a|j),30
opoziciaj,(∅|o)-(p|o)-(z|i)-(c|i)-(∅|a|j),30
iamajn,(∅|i)-(∅|a)-(m|a|jn),30
plur_jara,(pl|u|r)-(j|a)-(r|a),30
solidan,(s|o)-(l|i)-(d|a|n),30
komencitan,(k|o)-(m|e|n)-(c|i)-(t|a|n),30
nemal_haveblaj,(n|e)-(m|a|l)-(h|a)-(v|e|b)-(l|a|j),30
islamista,(∅|i|s)-(l|a)-(m|i|s)-(t|a),30
donitan,(d|o)-(n|i)-(t|a|n),30
favorata,(f|a)-(v|o)-(r|a)-(t|a),30
tribunala,(tr|i)-(b|u)-(n|a)-(l|a),30
celita,(c|e)-(l|i)-(t|a),30
bruligita,(br|u)-(l|i)-(g|i)-(t|a),30
sekuraj,(s|e)-(k|u)-(r|a|j),30
certigita,(c|e|r)-(t|i)-(g|i)-(t|a),30
falinta,(f|a)-(l|i|n)-(t|a),30
provincaj,(pr|o)-(v|i|n)-(c|a|j),30
korekta,(k|o)-(r|e|k)-(t|a),30
tropika,(tr|o)-(p|i)-(k|a),30
pravaj,(pr|a)-(v|a|j),30
marksisma,(m|a|r)-(ks|i|s)-(m|a),30
ricevinta,(r|i)-(c|e)-(v|i|n)-(t|a),30
renovigeblaj,(r|e)-(n|o)-(v|i)-(g|e|b)-(l|a|j),30
ĉiujaraj,(ĉ|i)-(∅|u)-(j|a)-(r|a|j),30
anima,(∅|a)-(n|i)-(m|a),30
long_daŭran,(l|o|ng)-(d|a|ŭ)-(r|a|n),30
akvaj,(∅|a|k)-(v|a|j),30
troan,(tr|o)-(∅|a|n),30
burĝaj,(b|u|r)-(ĝ|a|j),30
fidindajn,(f|i)-(d|i|n)-(d|a|jn),30
turnitaj,(t|u|r)-(n|i)-(t|a|j),30
sen_laca,(s|e|n)-(l|a)-(c|a),30
rekonebla,(r|e)-(k|o)-(n|e|b)-(l|a),30
amatora,(∅|a)-(m|a)-(t|o)-(r|a),30
donacita,(d|o)-(n|a)-(c|i)-(t|a),30
humura,(h|u)-(m|u)-(r|a),30
elegantaj,(∅|e)-(l|e)-(g|a|n)-(t|a|j),30
alt_kreska,(∅|a|lt)-(kr|e|s)-(k|a),30
zulua,(z|u)-(l|u)-(∅|a),30
planeda,(pl|a)-(n|e)-(d|a),30
diplomita,(d|i|p)-(l|o)-(m|i)-(t|a),30
ukrainan,(∅|u|k)-(r|a)-(∅|i)-(n|a|n),30
ekleziaj,(∅|e|k)-(l|e)-(z|i)-(∅|a|j),30
referenca,(r|e)-(f|e)-(r|e|n)-(c|a),30
libereca,(l|i)-(b|e)-(r|e)-(c|a),30
leĝ_dona,(l|e|ĝ)-(d|o)-(n|a),30
holanda,(h|o)-(l|a|n)-(d|a),30
glorata,(gl|o)-(r|a)-(t|a),30
dronas,(dr|o)-(n|a|s),30
vidigis,(v|i)-(d|i)-(g|i|s),30
krevis,(kr|e)-(v|i|s),30
mortus,(m|o|r)-(t|u|s),30
promesi,(pr|o)-(m|e)-(s|i),30
atingus,(∅|a)-(t|i|n)-(g|u|s),30
radiis,(r|a)-(d|i)-(∅|i|s),30
bon_venigi,(b|o|n)-(v|e)-(n|i)-(g|i),30
enketis,(∅|e|n)-(k|e)-(t|i|s),30
plaĉus,(pl|a)-(ĉ|u|s),30
el_tenos,(∅|e|l)-(t|e)-(n|o|s),30
bon_volos,(b|o|n)-(v|o)-(l|o|s),30
esprimiĝis,(∅|e|s)-(pr|i)-(m|i)-(ĝ|i|s),30
al_konduki,(∅|a|l)-(k|o|n)-(d|u)-(k|i),30
suspendi,(s|u|s)-(p|e|n)-(d|i),30
multigis,(m|u|l)-(t|i)-(g|i|s),30
pluteni,(pl|u)-(t|e)-(n|i),30
engaĝi,(∅|e|n)-(g|a)-(ĝ|i),30
rememorigi,(r|e)-(m|e)-(m|o)-(r|i)-(g|i),30
grandas,(gr|a|n)-(d|a|s),30
desaltis,(d|e)-(s|a|l)-(t|i|s),30
mensogi,(m|e|n)-(s|o)-(g|i),30
riĉiĝis,(r|i)-(ĉ|i)-(ĝ|i|s),30
diversigi,(d|i)-(v|e|r)-(s|i)-(g|i),30
kaŭzus,(k|a|ŭ)-(z|u|s),30
for_doni,(f|o|r)-(d|o)-(n|i),30
disputis,(d|i|s)-(p|u)-(t|i|s),30
mobiliziĝis,(m|o)-(b|i)-(l|i)-(z|i)-(ĝ|i|s),30
martelas,(m|a|r)-(t|e)-(l|a|s),30
kvalifiki,(kv|a)-(l|i)-(f|i)-(k|i),30
ŝokis,(ŝ|o)-(k|i|s),30
super_regas,(s|u)-(p|e|r)-(r|e)-(g|a|s),30
ekzamenas,(∅|e|k)-(z|a)-(m|e)-(n|a|s),30
ekiras,(∅|e)-(k|i)-(r|a|s),30
atendus,(∅|a)-(t|e|n)-(d|u|s),30
semi,(s|e)-(m|i),30
iniciati,(∅|i)-(n|i)-(c|i)-(∅|a)-(t|i),30
imitas,(∅|i)-(m|i)-(t|a|s),30
mal_havas,(m|a|l)-(h|a)-(v|a|s),30
rajtus,(r|a|j)-(t|u|s),30
diktas,(d|i|k)-(t|a|s),30
bruis,(br|u)-(∅|i|s),30
malaltiĝas,(m|a)-(l|a|l)-(t|i)-(ĝ|a|s),30
ĉagrenas,(ĉ|a|g)-(r|e)-(n|a|s),30
postulu,(p|o|s)-(t|u)-(l|u),30
kun_portas,(k|u|n)-(p|o|r)-(t|a|s),30
manifestiĝis,(m|a)-(n|i)-(f|e|s)-(t|i)-(ĝ|i|s),30
ŝovi,(ŝ|o)-(v|i),30
kulpis,(k|u|l)-(p|i|s),30
reiros,(r|e)-(∅|i)-(r|o|s),30
okazigos,(∅|o)-(k|a)-(z|i)-(g|o|s),30
elaĉeti,(∅|e)-(l|a)-(ĉ|e)-(t|i),30
el_parolas,(∅|e|l)-(p|a)-(r|o)-(l|a|s),30
sciiĝi,(sc|i)-(∅|i)-(ĝ|i),30
propagandis,(pr|o)-(p|a)-(g|a|n)-(d|i|s),30
plenigu,(pl|e)-(n|i)-(g|u),30
konfesu,(k|o|n)-(f|e)-(s|u),30
notindas,(n|o)-(t|i|n)-(d|a|s),30
ĵuru,(ĵ|u)-(r|u),30
vekiĝu,(v|e)-(k|i)-(ĝ|u),30
rimarkante,(r|i)-(m|a|r)-(k|a|n)-(t|e),30
inde,(∅|i|n)-(d|e),30
stulte,(st|u|l)-(t|e),30
demande,(d|e)-(m|a|n)-(d|e),30
sen_cele,(s|e|n)-(c|e)-(l|e),30
papere,(p|a)-(p|e)-(r|e),30
potenciale,(p|o)-(t|e|n)-(c|i)-(∅|a)-(l|e),30
sen_honte,(s|e|n)-(h|o|n)-(t|e),30
mal_ĝuste,(m|a|l)-(ĝ|u|s)-(t|e),30
simbole,(s|i|m)-(b|o)-(l|e),30
direktante,(d|i)-(r|e|k)-(t|a|n)-(t|e),30
anoncante,(∅|a)-(n|o|n)-(c|a|n)-(t|e),30
fortike,(f|o|r)-(t|i)-(k|e),30
ĉine,(ĉ|i)-(n|e),30
nekonscie,(n|e)-(k|o|n)-(sc|i)-(∅|e),30
parole,(p|a)-(r|o)-(l|e),30
literature,(l|i)-(t|e)-(r|a)-(t|u)-(r|e),30
mirante,(m|i)-(r|a|n)-(t|e),30
lasinte,(l|a)-(s|i|n)-(t|e),30
supozante,(s|u)-(p|o)-(z|a|n)-(t|e),30
perdinte,(p|e|r)-(d|i|n)-(t|e),30
kerne,(k|e|r)-(n|e),30
sam_momente,(s|a|m)-(m|o)-(m|e|n)-(t|e),30
kiele,(k|i)-(∅|e)-(l|e),30
ĉernobilo,(ĉ|e|r)-(n|o)-(b|i)-(l|o),30
hebdo,(h|e|b)-(d|o),30
nenies,(n|e)-(n|i)-(∅|e|s),30
